COMPANY LIST,URL TERM
Agilent Technologies,agilent-technologies
Textron,textron
Staples,staples
Everest Re Group,everest-re-group
Weatherford International,weatherford-international
Land Securities Group,land-securities-group
WW Grainger,ww-grainger
American Tower,american-tower
Jiangxi Copper,jiangxi-copper
Bank of Ireland,bank-of-ireland
Chow Tai Fook Jewellery,chow-tai-fook-jewellery
Samsung C&T,samsung-c&t
Beiersdorf,beiersdorf
Computer Sciences,computer-sciences
Pgnig Group,pgnig-group
Samsung Heavy Industries,samsung-heavy-industries
CF Industries Holdings,cf-industries-holdings
Credicorp,credicorp
Industries Qatar,industries-qatar
Hershey,hershey
Sinopharm Group,sinopharm-group
Power Assets Holdings,power-assets-holdings
Belgacom,belgacom
Areva,areva
Rostelecom,rostelecom
DSM,dsm
CIT Group,cit-group
Nordstrom,nordstrom
VakifBank,vakifbank
Hanwha Corp,hanwha-corp
Kobe Steel,kobe-steel
Cemig,cemig
Genting,genting
Financiere de l'Odet,financiere-de-l'odet
Zhejiang Zheneng Electric Power,zhejiang-zheneng-electric-power
Boston Properties,boston-properties
Starbucks,starbucks
NEC,nec
Valeant Pharmaceuticals,valeant-pharmaceuticals
News Corp,news-corp
Finatis,finatis
Phoenix Group Holdings,phoenix-group-holdings
Tesoro,tesoro
GKN,gkn
Nippon Yusen,nippon-yusen
CSL,csl
Shanghai International Port,shanghai-international-port
NRG Energy,nrg-energy
Banque Saudi Fransi,banque-saudi-fransi
Dexia,dexia
KT Corp,kt-corp
Banque nationale de Belgique,banque-nationale-de-belgique
Huadian Power International,huadian-power-international
Ryanair Holdings,ryanair-holdings
CarMax,carmax
Shanghai Electric Group,shanghai-electric-group
Investec,investec
Aluminum Corp of China,aluminum-corp-of-china
NiSource,nisource
Huntington Bancshares,huntington-bancshares
RSA Insurance Group,rsa-insurance-group
Haitong Securities,haitong-securities
Pentair,pentair
Onex,onex
Dassault Aviation,dassault-aviation
Sumitomo Metal Mining,sumitomo-metal-mining
Comerica,comerica
Hong Kong & China Gas,hong-kong-&-china-gas
Oneok,oneok
